santiago,type,sd,unadjusted,adjusted
L1,Educational Attainment,2.9%,-0.71 (-5.72;4.31),-1.62 (-6.52;3.28)
L1,Residential Overcrowding,1.4%,6.84 (2.86;10.82),8.09 (2.4;13.78)
L1,Population Density,2262 pop/km2,2.75 (-2.13;7.62),1.59 (-3.52;6.69)
L1,Air Pollution,4.3 ug/m3,2.67 (-2.21;7.55),1.73 (-3.23;6.7)
Santiago,Educational Attainment,17.9%,-7.65 (-11.93;-3.38),-7.23 (-11.73;-2.73)
Santiago,Residential Overcrowding,2.8%,7.43 (3.11;11.75),7.04 (2.68;11.4)
Santiago,Population Density,3974 pop/km2,2.9 (-2;7.79),3.11 (-1.7;7.92)
Santiago,Air Pollution,1.9 ug/m3,0.22 (-4.77;5.21),2.84 (-2.84;8.52)
Concepcion,Educational Attainment,7.6%,1.44 (-9.51;12.4),3.02 (-8.99;15.03)
Concepcion,Residential Overcrowding,0.7%,-4.91 (-15.37;5.55),-4.94 (-15.8;5.92)
Concepcion,Population Density,1803 pop/km2,10.99 (3.06;18.92),11.44 (3.64;19.24)
Concepcion,Air Pollution,2.1 ug/m3,6.36 (-3.72;16.43),6.52 (-3.89;16.93)
Valparaiso,Educational Attainment,6.4%,4.78 (-0.15;9.71),2.92 (0.28;5.57)
Valparaiso,Residential Overcrowding,0.7%,1.55 (-5.56;8.65),1.11 (-3.01;5.24)
Valparaiso,Population Density,2078 pop/km2,-3.21 (-9.56;3.14),0.18 (-5.25;5.62)
Valparaiso,Air Pollution,0.6 ug/m3,-0.71 (-7.98;6.57),1.2 (-3.12;5.52)
